designation,abs_mag,slope_param,epoch,mean_anomaly,arg_perihelion,long_asc_node,inclination,eccentricity,mean_motion,semi_major_axis,uncertainty,reference,num_observations,num_oppositions,first_obs,separator,last_obs,rms_residual,coarse_perturbers,precise_perturbers,computer,hex_flags,designation_full,last_obs_date,orbit_type,is_neo
00758,8.36,0.15,K25BL,130.98707,313.23062,106.01298,5.60879,0.1482048,0.17290961,3.1909742,0,MPO937425,5271.0,66,1914,-,2025,0.73,M-v,3Ek,MPCLINUX,0000,(758) Mancunia,2025-07-18,Type 0,False
00759,10.83,0.15,K25BL,184.15552,1.3936,318.21201,19.93466,0.2069771,0.23275249,2.6174184,0,E2025-V50,10738.0,37,1913,-,2025,0.43,M-v,3Ek,MPCORBFIT,0000,(759) Vinifera,2025-11-07,Type 0,False
00760,7.87,0.15,K25BL,170.0898,200.2459,331.52644,12.54217,0.2344975,0.17651773,3.1473413,0,E2025-V65,4816.0,54,1914,-,2025,0.74,M-v,3Ek,MPCORBFIT,0000,(760) Massinga,2025-11-08,Type 0,False
00761,10.84,0.15,K25BL,86.06415,298.68103,23.70423,2.15481,0.0616346,0.20348659,2.8627199,0,E2025-V65,8683.0,52,1913,-,2025,0.52,M-v,3Ek,MPCORBFIT,0000,(761) Brendelia,2025-11-09,Type 0,False
00762,8.43,0.15,K25BL,227.76829,188.70896,305.51458,13.10226,0.1078484,0.17608656,3.1524769,0,E2025-V50,10618.0,53,1916,-,2025,0.52,M-v,3Ek,MPCORBFIT,0000,(762) Pulcova,2025-11-08,Type 0,False
00763,12.69,0.15,K25BL,147.05245,89.02162,289.76864,4.08388,0.1663945,0.29395081,2.2401973,0,MPO914124,8508.0,37,1913,-,2025,0.5,M-v,3Ek,MPCLINUX,0000,(763) Cupido,2025-05-18,Type 0,False
00764,9.68,0.15,K25BL,225.17477,159.32101,258.74296,9.99976,0.092301,0.17252334,3.1957354,0,MPO950958,6334.0,53,1902,-,2025,0.62,M-v,3Ek,MPCORBFIT,0000,(764) Gedania,2025-10-06,Type 0,False
00765,12.52,0.15,K25BL,192.60775,71.82497,326.24868,5.53195,0.2852021,0.24279296,2.5447512,0,E2025-UT3,6346.0,42,1913,-,2025,0.55,M-v,3Ek,MPCLINUX,0000,(765) Mattiaca,2025-07-23,Type 0,False
00766,9.88,0.15,K25BL,75.95244,69.08203,7.68857,10.0768,0.0967483,0.18790416,3.018875,0,MPO914124,4977.0,48,1908,-,2025,0.66,M-v,3Ek,MPCLINUX,0000,(766) Moguntia,2025-05-21,Type 0,False
00767,10.18,0.15,K25BL,134.5455,269.03814,79.2715,2.40941,0.1866574,0.17898831,3.1183123,0,E2025-V65,5472.0,57,1902,-,2025,0.66,M-v,3Ek,MPCORBFIT,0000,(767) Bondia,2025-11-09,Type 0,False
00768,10.23,0.15,K25BL,22.18714,16.83436,38.86739,16.27391,0.2149356,0.17740438,3.1368457,0,E2025-V46,4408.0,41,1930,-,2025,0.65,M-v,3Ek,MPCLINUX,0000,(768) Struveana,2025-11-05,Type 0,False
00769,9.16,0.15,K25BL,326.29903,252.91157,38.37462,7.36843,0.1864873,0.17469161,3.1692368,0,MPO937425,8288.0,59,1914,-,2025,0.54,M-v,3Ek,MPCORBFIT,0000,(769) Tatjana,2025-08-14,Type 0,False
00770,10.91,0.15,K25BL,292.24893,18.17467,44.65175,4.38353,0.1505776,0.29776454,2.2210281,0,E2025-V57,5066.0,53,1903,-,2025,0.67,M-v,3Ek,MPCORBFIT,0000,(770) Bali,2025-11-08,Type 0,False
00771,10.46,0.15,K25BL,322.63519,228.73838,217.84321,14.89348,0.2478332,0.22836803,2.6508135,0,E2025-V50,10653.0,52,1913,-,2025,0.44,M-v,3Ek,MPCORBFIT,0000,(771) Libera,2025-11-08,Type 0,False
00772,8.44,0.15,K25BL,89.41368,145.46963,63.71514,28.83302,0.0952851,0.18968682,2.999931,0,E2025-V46,7381.0,52,1902,-,2025,0.57,M-v,3Ek,MPCORBFIT,0000,(772) Tanete,2025-11-07,Type 0,False
00773,9.13,0.15,K25BL,190.38181,335.05968,322.09475,16.69156,0.0791215,0.20377737,2.8599959,0,E2025-V65,7893.0,49,1914,-,2025,0.54,M-v,3Ek,MPCORBFIT,0000,(773) Irmintraud,2025-11-09,Type 0,False
00774,9.06,0.15,K25BL,149.62606,29.06052,250.07499,5.56257,0.1649435,0.18490721,3.0514071,0,E2025-V65,9731.0,59,1908,-,2025,0.54,M-v,3Ek,MPCORBFIT,0000,(774) Armor,2025-11-09,Type 0,False
00775,10.29,0.15,K25BL,151.42934,171.66288,297.50116,9.25659,0.0664412,0.18835044,3.0141044,0,MPO950958,5772.0,41,1930,-,2025,0.61,M-v,3Ek,MPCLINUX,0000,(775) Lumiere,2025-09-22,Type 0,False
